arg109565_arg133652	o8_1,o9_4,o6_2,o7_3	India will not lead the world because the gap between the rich and poor is too great and they still heavily believe in the caste system.	wow! syona i m very much impressed by your views. from where did you get these unique datas,i kindly request you to submit more pts. like all these plz. don't mind my words syona, but all these special datas are accurate?reply me soon!
arg649666_arg124182	o8_1,o9_4	India has Strong Military Neighbors (China & Pakistan)...India has bad relation with Pakistan as they have territorial disputes and also fought 4 wars for this... and as far as china , India relation also become tense with china...due rise of territorial disputes and India interference in Pakistan....as Pakistan China has long term plans ....for example Pak China Economic Corridor and Gawadar Mega Oil City....	i strongly believe that India cannot lead . u people talk about the 7th , 3rd , 2nd rank of India in area defense and arable land respectively but here we r talking about the supreme power we cant rely on 2nd or 3rd. moreover the people r lazy they don't have the time 2 think about country's development they r happy at their home
arg155750_arg128469	o8_1,o5_1,o6_1,o6_2	First of, India does NOT have the potential to "rule" the world because have you seen the people? Good Indian people with good minds are in some foreign country getting a Nobel prize while the others are just stuck ups who don't do anything and push the people who come up, down. Nobody actually lets anyone succeed. That's why!	stupid india they actually really suck. so, BOO INDIA BOO!
arg206923_arg133725	o7_1,o7_4	this does not even make sense no one country should lead the world we all started together and thats the way it should end and everyone has there ways this is just not logical at all	i m student of class 11 .I have to take part in dbt. that' s why asked you,plz.give me more datas.i will be highly obliged to you
arg123962_arg108959	o8_1,o5_2	india is is good adopter but a bad developer and leader should be a great developer	Ha ha, no. <br/> India was most successful when it was ruled by other empires, they cant even lead themselves.
arg155750_arg125382	o8_1,o5_1	with the cream layer quota system i don't prefer india to be leading the world in near future..... <br/> yes india have the potential.. but corruption , this quota system ( not helpful to anyone) , and the main reason brain drain , don't specialy help india in the matter....	stupid india they actually really suck. so, BOO INDIA BOO!
arg133652_arg118518	o5_3,o7_1	India... where they have like a whole class of opressed people and a huge wealth differences? And with a language that the majority of the world can't understand and doesn't want to understand? India's education quality has nothing compared to Western education and it's the superpowers that control the world's economy. <br/> I highly doubt India will ever lead the world, and it doesn't even have the potential to. It should leave that to the superpowers.	wow! syona i m very much impressed by your views. from where did you get these unique datas,i kindly request you to submit more pts. like all these plz. don't mind my words syona, but all these special datas are accurate?reply me soon!
arg124182_arg106123	o8_1,o5_2	i strongly believe that India cannot lead . u people talk about the 7th , 3rd , 2nd rank of India in area defense and arable land respectively but here we r talking about the supreme power we cant rely on 2nd or 3rd. moreover the people r lazy they don't have the time 2 think about country's development they r happy at their home	Hahaha really? <br/> This debate is ridiculous. <br/> NO they don't. <br/> They're practically a 3rd world country.
arg123962_arg126375	o8_1,o5_2	well, India is finding difficult to manage itself first...so there's no question of leading the world so far....but still if we compare so lets have a look at the following points: <br/> 1. almost 90% of India is illiterate(don't be sure of the percentage), so an illiterate country can't lead the world.... <br/> 2.India is more into castes, politics, religions and less into development. <br/> 3.the most important thing is that India doesn't have confidence on itself and is still cursing itself... <br/> So if it goes on so then it is difficult or even impossible to say that "INDIA WILL LEAD THE WORLD WHEN IT CANNOT LEAD ITSELF!!"	Ha ha, no. <br/> India was most successful when it was ruled by other empires, they cant even lead themselves.
arg133652_arg127723	o6_2,o7_1,o7_3	I HAVE TO SAY BUT JUST 1 WORD: CORRUPTION, CORRUPTION & CORRUPTION........	wow! syona i m very much impressed by your views. from where did you get these unique datas,i kindly request you to submit more pts. like all these plz. don't mind my words syona, but all these special datas are accurate?reply me soon!
